,catagory,sub_cata_1,sub_cata_2,product,price,review,review_num
270,Women's Clothes,Sweaters,,Cotton-Blend Ribbed Sweater,178.0,3.0,2
271,Women's Clothes,Coats & Jackets,,Always Effortless Trench Online Only,228.0,4.2,30
272,Women's Clothes,Pants,,"Wunder Train Contour Fit High-Rise Tight 28""",98.0,4.2,186
273,Women's Clothes,Coats & Jackets,,Evergreen Full-Zip Long Jacket,198.0,3.2,22
274,Women's Clothes,Shirts,Short Sleeve Shirts,Nulux Cropped Tennis Short-Sleeve Shirt,78.0,4.1,10
275,Women's Clothes,Underwear,,UnderEase High-Waist Ribbed Brief,22.0,4.7,3
276,Women's Clothes,Hoodies & Sweatshirts,,Swiftly Relaxed Half Zip Online Only,108.0,4.3,75
277,Women's Clothes,Pants,Leggings,"Wunder Train High-Rise Crop with Pockets 23"" Online Only",128.0,,0
278,Women's Clothes,Shirts,Short Sleeve Shirts,New Year Swiftly Tech Short Sleeve Shirt 2.0,68.0,4.4,2243
279,Women's Clothes,Underwear,,UnderEase High-Waist Ribbed Thong Underwear,20.0,4.7,7
280,Women's Clothes,Pants,Leggings,"New Year lululemon Align™ High-Rise Crop 23""",88.0,,0
281,Women's Clothes,Shirts,Tank Tops,Hold Tight Tank Top Jacquard,68.0,3.8,5
282,Women's Clothes,Skirts,,Asymmetrical Pleated Tennis Skirt,108.0,3.8,12
283,Women's Clothes,Sweaters,,Merino Wool-Blend Ribbed Long Wrap Sweater,158.0,4.1,155
284,Women's Clothes,Shirts,T-Shirts,Crescent T-Shirt,58.0,,0
285,Women's Clothes,Shirts,Short Sleeve Shirts,Swiftly Tech Short-Sleeve Shirt 2.0 Team Canada,68.0,,0
286,Women's Clothes,Pants,Leggings,"SenseKnit High-Rise Running Tight 28"" Online Only",178.0,3.9,78
287,Women's Clothes,Dresses,,"lululemon Align™ Bodysuit 25""",148.0,3.9,469
288,Women's Clothes,Shirts,Long Sleeve Shirts,Lightweight Hiking Long-Sleeve Henley,78.0,4.0,11
289,Women's Clothes,Pants,Leggings,"Cargo Super-High-Rise Hiking Tight 25""",148.0,4.1,87
